session_date,prior_rth_vah,prior_rth_val,prior_rth_poc,overnight_vah,overnight_val,ibh,ibl,ib_range,rth_open,rth_close,rth_high,rth_low,day_classification,pre_ib_total,pre_ib_A,pre_ib_A_star,pre_ib_R,pre_ib_B,post_ib_total,post_ib_A,post_ib_A_star,post_ib_R,post_ib_B
2025-01-01,,,,21483.0,21320.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-02,,,,21268.5,21219.25,21444.0,21166.5,277.5,21348.0,21169.25,21444.0,20983.25,unknown,5,0,1,2,2,4,0,0,2,2
2025-01-03,21350.5,21071.25,21292.75,21501.0,21482.0,21440.75,21260.75,180.0,21293.75,21508.0,21559.25,21260.75,above_value,3,0,0,1,2,2,1,0,0,1
2025-01-05,21469.5,21296.75,21364.75,21761.0,21563.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-06,,,,21783.75,21728.0,21886.75,21723.75,163.0,21732.75,21750.25,21897.0,21646.5,unknown,3,1,0,1,1,9,0,0,4,5
2025-01-07,21891.5,21752.5,21866.25,21421.0,21314.5,21806.25,21524.75,281.5,21793.25,21360.0,21806.25,21279.5,below_value,3,1,0,1,1,8,1,0,3,4
2025-01-08,21615.25,21399.25,21445.5,21329.75,21281.25,21406.0,21231.25,174.75,21355.75,21357.5,21431.5,21166.0,below_value,5,0,1,2,2,9,0,0,4,5
2025-01-09,21383.0,21298.5,21343.0,21323.25,21156.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-10,,,,21024.25,20999.75,21197.25,20874.75,322.5,21193.25,21017.25,21197.25,20874.75,unknown,3,1,0,1,1,1,0,0,0,1
2025-01-12,21149.75,20961.25,21069.0,20891.75,20702.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-13,,,,21106.25,21019.0,20855.75,20701.5,154.25,20765.75,20948.0,20964.75,20701.5,unknown,1,0,0,0,1,8,1,0,3,4
2025-01-14,20877.25,20742.5,20771.75,21260.75,20908.75,21129.25,20965.75,163.5,21071.25,20921.25,21129.25,20773.25,above_value,3,1,0,1,1,6,1,0,2,3
2025-01-15,21030.75,20825.75,20992.0,21523.0,21405.5,21408.5,21186.5,222.0,21252.25,21399.75,21452.75,21186.5,above_value,3,1,0,1,1,3,0,0,1,2
2025-01-16,21403.5,21285.0,21343.5,21491.75,21171.75,21498.0,21336.0,162.0,21495.0,21247.75,21498.0,21244.25,below_value,3,0,0,1,2,8,0,1,3,4
2025-01-17,21425.0,21335.25,21390.5,21593.0,21578.0,21653.5,21481.0,172.5,21651.0,21601.0,21672.5,21481.0,above_value,3,1,0,1,1,5,0,0,2,3
2025-01-19,21637.5,21543.5,21617.75,21627.25,21538.0,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-20,,,,21737.75,21594.25,21780.0,21676.75,103.25,21723.5,21680.5,21780.0,21623.0,unknown,3,1,0,1,1,5,0,0,2,3
2025-01-21,21637.5,21543.5,21617.75,21932.5,21836.75,21718.5,21525.5,193.0,21712.0,21714.5,21772.0,21525.5,above_value,6,0,0,3,3,6,0,0,3,3
2025-01-22,21711.5,21572.5,21624.0,21951.75,21862.75,22037.0,21902.5,134.5,21915.0,21997.25,22094.0,21902.5,above_value,3,1,0,1,1,9,0,0,4,5
2025-01-23,22061.5,21992.5,22019.5,22029.5,21990.5,21918.25,21866.0,52.25,21889.0,22042.5,22044.0,21866.0,within_value,3,1,0,1,1,4,1,0,1,2
2025-01-24,21969.75,21901.75,21933.25,21910.0,21897.25,22078.0,21987.5,90.5,22044.25,21908.0,22078.0,21843.25,within_value,3,1,0,1,1,6,1,0,2,3
2025-01-26,22078.0,21926.75,21994.5,21616.25,21048.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-01-27,,,,21338.0,21268.0,21370.5,21108.25,262.25,21123.75,21259.25,21418.0,21096.75,unknown,1,0,0,0,1,5,0,0,2,3
2025-01-28,21292.0,21151.25,21205.5,21695.25,21584.0,21481.25,21160.75,320.5,21302.0,21576.25,21626.0,21160.75,above_value,5,0,1,2,2,2,1,0,0,1
2025-01-29,21625.5,21399.5,21545.75,21702.5,21592.25,21606.25,21480.5,125.75,21600.0,21530.0,21606.25,21368.0,within_value,1,0,0,0,1,11,0,0,5,6
2025-01-30,21561.0,21473.75,21524.25,21806.0,21728.75,21748.75,21522.0,226.75,21650.0,21621.75,21748.75,21419.0,above_value,2,0,0,1,1,7,0,0,3,4
2025-01-31,21650.25,21517.25,21550.5,21581.0,21554.0,21921.5,21764.0,157.5,21774.25,21580.75,21965.75,21536.25,within_value,3,1,0,1,1,12,1,0,5,6
2025-02-02,21957.5,21724.75,21905.0,21270.0,21080.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-02-03,,,,21475.75,21329.25,21363.5,21113.25,250.25,21215.75,21404.5,21520.0,21113.25,unknown,5,0,1,2,2,4,1,0,1,2
2025-02-04,21511.0,21324.25,21402.25,21572.5,21458.0,21663.5,21405.0,258.5,21421.75,21668.0,21694.75,21405.0,above_value,3,1,0,1,1,12,0,1,5,6
2025-02-05,21680.0,21591.0,21652.0,21804.25,21746.75,21609.0,21501.0,108.0,21550.75,21760.5,21769.25,21501.0,above_value,5,0,0,2,3,4,1,0,1,2
2025-02-06,21753.25,21571.5,21711.0,21881.5,21838.5,21849.5,21738.0,111.5,21776.75,21871.0,21882.0,21711.75,above_value,3,0,0,1,2,4,0,1,1,2
2025-02-07,21823.75,21761.5,21776.5,21595.5,21581.25,21967.75,21685.0,282.75,21885.5,21588.0,21967.75,21553.0,below_value,6,0,0,3,3,10,1,0,4,5
2025-02-09,21751.0,21573.5,21656.75,21767.0,21664.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-02-10,,,,21812.5,21728.25,21873.5,21742.25,131.25,21764.5,21843.25,21893.75,21742.25,unknown,3,1,0,1,1,11,0,0,5,6
2025-02-11,21881.75,21826.0,21867.75,21848.5,21566.5,21845.25,21700.25,145.0,21706.25,21790.5,21871.25,21700.25,below_value,3,0,0,1,2,3,0,0,1,2
2025-02-12,21833.25,21763.75,21785.0,21877.75,21776.5,21739.0,21535.75,203.25,21551.0,21801.75,21839.0,21535.75,within_value,3,1,0,1,1,4,1,0,1,2
2025-02-13,21838.25,21674.0,21791.0,22130.75,22069.0,21996.5,21835.0,161.5,21869.25,22110.25,22123.75,21835.0,above_value,7,0,1,3,3,6,1,0,2,3
2025-02-14,22014.5,21864.5,21977.5,22212.0,22191.75,22160.0,22088.0,72.0,22108.5,22194.5,22224.0,22088.0,above_value,3,1,0,1,1,8,1,0,3,4
2025-02-16,22166.0,22102.75,22128.5,22273.0,22232.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-02-17,,,,22315.5,22262.75,22242.0,22192.0,50.0,22241.0,22235.25,22252.25,22192.0,unknown,3,1,0,1,1,5,0,0,2,3
2025-02-18,22166.0,22102.75,22128.5,22281.5,22214.75,22268.0,22130.25,137.75,22257.75,22238.5,22268.0,22103.0,above_value,7,0,1,3,3,3,0,0,1,2
2025-02-19,22204.5,22148.75,22174.25,22221.25,22173.75,22221.5,22118.0,103.5,22207.5,22247.75,22299.75,22118.0,above_value,4,0,0,2,2,8,1,0,3,4
2025-02-20,22256.25,22162.25,22235.75,22188.0,22111.75,22227.0,21950.75,276.25,22210.0,22144.25,22227.0,21950.75,below_value,3,1,0,1,1,1,0,0,0,1
2025-02-21,22109.0,22012.75,22050.25,21692.25,21671.25,22188.0,21992.25,195.75,22186.5,21683.0,22188.0,21662.0,below_value,3,0,0,1,2,8,1,0,3,4
2025-02-23,22007.5,21666.75,21692.0,21790.75,21749.0,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-02-24,,,,21445.0,21365.5,21801.75,21436.75,365.0,21753.0,21422.5,21801.75,21408.5,unknown,3,1,0,1,1,1,0,0,0,1
2025-02-25,21643.5,21500.0,21522.0,21326.75,21241.75,21397.5,21028.0,369.5,21391.5,21150.25,21397.5,20990.5,below_value,5,1,0,2,2,1,0,0,0,1
2025-02-26,21253.5,21071.25,21197.75,21373.75,21208.0,21372.0,21188.5,183.5,21237.75,21193.25,21409.75,21064.75,within_value,2,0,0,1,1,11,0,0,5,6
2025-02-27,21401.0,21203.5,21371.0,20657.5,20583.75,21381.0,20896.5,484.5,21340.5,20611.0,21381.0,20597.5,below_value,3,1,0,1,1,2,1,0,0,1
2025-02-28,21210.0,20896.5,21056.5,20912.5,20888.75,20759.0,20460.25,298.75,20590.75,20913.5,20944.25,20460.25,within_value,2,0,0,1,1,6,0,1,2,3
2025-03-02,20761.75,20580.5,20692.5,21025.75,20882.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-03-03,,,,20582.5,20382.75,21120.75,20759.75,361.0,21055.75,20475.5,21120.75,20317.5,unknown,5,0,0,2,3,6,1,0,2,3
2025-03-04,21000.75,20709.0,20921.5,20578.0,20467.25,20430.0,20075.75,354.25,20342.5,20391.75,20733.0,20075.75,below_value,3,1,0,1,1,5,0,0,2,3
2025-03-05,20407.5,20108.75,20180.0,20654.5,20375.25,20496.75,20270.25,226.5,20421.25,20656.25,20725.5,20215.0,above_value,1,0,0,0,1,12,1,0,5,6
2025-03-06,20532.0,20228.0,20385.5,20214.25,20123.0,20483.5,20228.25,255.25,20310.75,20092.0,20513.25,20002.75,below_value,3,0,0,1,2,6,1,0,2,3
2025-03-07,20343.25,20008.0,20106.5,20218.0,20186.25,20242.25,20024.25,218.0,20037.5,20224.75,20286.75,19766.0,within_value,1,0,0,0,1,10,0,0,5,5
2025-03-09,20249.75,19972.5,20173.0,20012.5,19660.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-03-10,,,,19565.5,19394.5,19697.25,19520.0,177.25,19668.25,19472.0,19702.75,19271.75,unknown,3,1,0,1,1,6,1,0,2,3
2025-03-11,19675.25,19455.0,19610.5,19772.0,19572.0,19508.5,19265.25,243.25,19321.75,19399.75,19687.5,19201.0,below_value,5,0,0,2,3,9,0,0,4,5
2025-03-12,19502.25,19282.25,19365.75,19582.25,19426.25,19644.0,19395.0,249.0,19630.25,19571.0,19727.75,19395.0,above_value,1,0,0,0,1,9,0,0,4,5
2025-03-13,19698.25,19555.25,19629.0,19539.25,19387.25,19531.5,19342.75,188.75,19476.25,19294.75,19531.5,19165.5,below_value,3,1,0,1,1,12,1,0,5,6
2025-03-14,19392.25,19221.0,19309.75,,,19665.0,19467.25,197.75,19475.25,19666.75,19742.75,19467.25,above_value,3,1,0,1,1,10,0,1,4,5
2025-03-16,19697.5,19622.5,19671.5,19761.25,19554.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-03-17,,,,19832.75,19532.75,19759.5,19654.5,105.0,19716.75,19830.5,19959.25,19628.5,unknown,1,0,0,0,1,4,1,0,1,2
2025-03-18,19697.5,19622.5,19671.5,19814.0,19693.5,19530.0,19401.0,129.0,19495.75,19496.75,19579.25,19401.0,below_value,3,1,0,1,1,9,0,0,4,5
2025-03-19,19528.5,19465.75,19483.0,20088.75,19856.5,19883.75,19788.75,95.0,19847.5,19945.75,20142.25,19765.5,above_value,1,0,0,0,1,8,1,0,3,4
2025-03-20,19963.0,19790.0,19874.25,19800.25,19622.0,20105.0,20008.75,96.25,20054.5,19894.25,20105.0,19795.5,within_value,3,1,0,1,1,4,1,0,1,2
2025-03-21,19998.75,19800.75,19875.5,,,19811.75,19694.5,117.25,19744.75,19971.0,19977.75,19675.0,within_value,1,0,0,0,1,4,1,0,1,2
2025-03-23,19896.0,19738.75,19851.5,20347.5,20199.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-03-24,,,,20436.5,20361.75,20371.0,20314.0,57.0,20339.25,20356.5,20409.25,20308.25,unknown,3,1,0,1,1,11,0,0,5,6
2025-03-25,20369.5,20328.25,20334.25,20494.5,20320.75,20496.5,20421.75,74.75,20454.0,20517.25,20524.75,20402.0,above_value,3,1,0,1,1,8,1,0,3,4
2025-03-26,20471.75,20415.25,20443.75,20108.0,20012.25,20320.5,20253.5,67.0,20285.0,20090.5,20320.5,20041.25,below_value,3,1,0,1,1,2,1,0,0,1
2025-03-27,20203.75,20047.75,20118.75,19982.5,19845.5,20199.0,20106.25,92.75,20120.5,19997.25,20199.0,19975.0,below_value,6,0,0,3,3,6,1,0,2,3
2025-03-28,20111.75,20006.5,20062.5,,,19660.75,19554.75,106.0,19638.75,19362.25,19660.75,19360.75,below_value,3,1,0,1,1,4,1,0,1,2
2025-03-30,19592.25,19421.5,19464.25,19257.0,19084.0,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-03-31,,,,19424.5,19332.25,19233.0,19060.25,172.75,19060.5,19412.5,19489.5,19060.25,unknown,1,0,0,0,1,12,1,0,5,6
2025-04-01,19362.75,19060.25,19232.75,19605.25,19453.25,19604.0,19327.75,276.25,19333.5,19597.5,19643.25,19327.75,above_value,3,1,0,1,1,6,0,0,3,3
2025-04-02,19626.25,19466.25,19570.75,19058.75,18879.25,19714.0,19560.75,153.25,19598.25,19137.0,20045.25,19076.25,below_value,5,0,1,2,2,6,1,0,2,3
2025-04-03,19769.0,19569.25,19674.75,18471.0,17819.5,18948.0,18720.25,227.75,18922.25,18648.5,18988.25,18614.0,below_value,3,1,0,1,1,8,1,0,3,4
2025-04-04,18929.0,18769.0,18837.75,,,18147.0,17655.25,491.75,17916.0,17498.75,18147.0,17387.0,below_value,3,1,0,1,1,8,1,0,3,4
2025-04-06,17968.5,17645.0,17776.5,17164.25,16587.0,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-04-07,,,,18144.25,17662.5,17799.0,17150.75,648.25,17364.0,17629.5,17821.75,17150.75,unknown,3,1,0,1,1,1,0,0,0,1
2025-04-08,17738.25,17353.0,17644.0,17328.75,16860.0,18332.5,17979.25,353.25,18283.25,17232.5,18332.5,16972.0,below_value,3,1,0,1,1,2,1,0,0,1
2025-04-09,18332.5,17534.25,18030.25,19022.25,18590.25,17553.25,17214.5,338.75,17445.25,19351.0,19388.0,17214.5,above_value,1,0,0,0,1,2,1,0,0,1
2025-04-10,18898.25,17214.5,17455.25,18640.75,18376.5,18801.25,18466.75,334.5,18644.0,18502.5,18801.25,17918.25,within_value,5,0,1,2,2,11,0,0,5,6
2025-04-11,18608.25,18205.5,18468.0,,,18566.0,18270.0,296.0,18304.0,18819.0,18873.25,18270.0,above_value,1,0,0,0,1,2,1,0,0,1
2025-04-13,18857.5,18526.75,18812.75,19156.25,19025.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-04-14,,,,19042.0,18856.0,19193.0,18942.0,251.0,19136.0,18903.75,19193.0,18738.5,unknown,7,0,1,3,3,4,1,0,1,2
2025-04-15,19030.25,18800.5,18871.75,18731.0,18572.0,19089.25,18966.75,122.5,18968.0,18940.0,19090.75,18884.5,within_value,10,0,0,5,5,16,1,0,7,8
2025-04-16,19039.25,18924.25,18967.5,18539.25,18382.75,18735.25,18589.5,145.75,18618.0,18372.75,18735.25,18116.25,below_value,3,0,0,1,2,10,1,0,4,5
2025-04-17,18735.25,18334.0,18581.75,,,18444.0,18261.25,182.75,18321.5,18430.0,18526.0,18261.25,within_value,4,0,0,2,2,7,0,0,3,4
2025-04-20,18459.25,18340.0,18387.75,18301.75,18045.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-04-21,,,,18222.75,17972.5,17988.0,17857.0,131.0,17925.5,17912.0,17988.0,17700.0,unknown,3,1,0,1,1,5,0,0,2,3
2025-04-22,17888.75,17712.75,17834.25,19014.25,18624.25,18386.0,18244.5,141.5,18279.5,18359.25,18513.5,18210.5,above_value,3,1,0,1,1,13,0,0,6,7
2025-04-23,18396.0,18255.5,18354.75,18973.75,18645.75,19165.75,18881.0,284.75,19101.5,18850.0,19165.75,18729.75,above_value,3,1,0,1,1,12,0,1,5,6
2025-04-24,18951.25,18788.0,18881.0,19438.25,19281.25,19209.0,19087.5,121.5,19139.25,19346.25,19417.0,19087.5,above_value,3,1,0,1,1,4,1,0,1,2
2025-04-25,19321.0,19159.75,19243.5,,,19393.0,19234.5,158.5,19271.75,19554.75,19590.0,19234.5,above_value,1,0,0,0,1,2,1,0,0,1
2025-04-27,19490.75,19295.75,19352.75,19549.0,19450.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-04-28,,,,19580.25,19469.25,19539.25,19312.0,227.25,19489.25,19483.75,19579.0,19257.75,unknown,3,0,1,1,1,7,0,0,3,4
2025-04-29,19466.5,19267.0,19318.5,19512.75,19102.25,19615.25,19491.75,123.5,19497.25,19614.25,19692.5,19470.75,above_value,5,0,0,2,3,3,0,0,1,2
2025-04-30,19640.5,19485.5,19564.0,19986.5,19907.0,19438.5,19275.75,162.75,19309.25,19848.25,19878.5,19275.75,above_value,3,1,0,1,1,6,1,0,2,3
2025-05-01,19550.0,19346.75,19424.25,20105.25,19859.0,20125.25,19975.0,150.25,19998.75,19797.0,20125.25,19756.0,above_value,3,1,0,1,1,10,1,0,4,5
2025-05-02,20045.75,19935.25,20015.5,,,20194.25,20122.75,71.5,20179.25,20200.5,20277.0,20122.75,above_value,3,1,0,1,1,11,0,0,5,6
2025-05-04,20255.25,20173.75,20221.0,20078.75,20002.0,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-05-05,,,,19909.0,19771.75,20124.25,20009.0,115.25,20059.5,20041.0,20191.25,20002.0,unknown,3,1,0,1,1,11,0,0,5,6
2025-05-06,20148.5,20070.5,20131.75,20093.5,19925.0,19945.0,19881.0,64.0,19899.75,19846.25,20027.0,19808.75,below_value,1,0,0,0,1,20,1,0,9,10
2025-05-07,19947.5,19881.5,19917.0,20194.25,20055.0,19977.75,19788.5,189.25,19972.0,19957.25,20055.0,19678.5,above_value,5,1,0,2,2,11,0,0,5,6
2025-05-08,19912.0,19785.25,19829.75,20265.25,20175.75,20205.75,19978.0,227.75,20091.25,20155.75,20337.5,19978.0,above_value,5,0,1,2,2,3,0,0,1,2
2025-05-09,20337.0,20164.25,20304.5,,,20176.0,20057.5,118.5,20134.0,20146.5,20187.0,20057.5,below_value,5,0,1,2,2,1,0,0,0,1
2025-05-11,20159.75,20104.0,20138.0,20962.5,20754.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-05-12,,,,21070.25,20818.25,20815.75,20690.0,125.75,20741.5,20958.0,20996.0,20690.0,unknown,3,0,0,1,2,2,1,0,0,1
2025-05-13,20971.75,20789.5,20909.25,21350.5,21276.25,21293.0,21186.5,106.5,21210.25,21254.75,21347.0,21186.5,above_value,3,1,0,1,1,7,0,0,3,4
2025-05-14,21335.5,21262.0,21321.0,21339.25,21253.75,21385.0,21288.25,96.75,21342.5,21403.5,21419.75,21281.25,above_value,7,0,1,3,3,10,1,0,4,5
2025-05-15,21387.5,21334.5,21366.25,21464.0,21400.25,21423.0,21256.75,166.25,21287.75,21396.25,21529.75,21256.75,above_value,5,0,1,2,2,9,0,0,4,5
2025-05-16,21474.25,21341.0,21407.75,,,21414.5,21320.0,94.5,21413.0,21404.25,21513.0,21320.0,within_value,3,0,0,1,2,5,0,0,2,3
2025-05-18,21504.5,21402.25,21434.5,21353.75,21152.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-05-19,,,,21459.0,21383.25,21435.0,21377.0,58.0,21404.75,21517.5,21545.5,21377.0,unknown,3,1,0,1,1,8,1,0,3,4
2025-05-20,21542.75,21435.25,21494.25,21423.0,21315.5,21451.25,21381.5,69.75,21394.0,21419.0,21473.75,21298.0,below_value,1,0,0,0,1,7,0,0,3,4
2025-05-21,21452.0,21377.75,21421.5,21252.5,21136.5,21535.5,21372.0,163.5,21383.5,21145.25,21558.5,21071.75,below_value,3,1,0,1,1,8,1,0,3,4
2025-05-22,21558.5,21227.5,21515.5,21231.5,20873.0,21269.25,21166.5,102.75,21233.5,21214.25,21337.75,21166.25,below_value,1,0,0,0,1,7,0,0,3,4
2025-05-23,21302.0,21222.5,21253.0,,,20988.25,20883.75,104.5,20943.75,20953.25,21083.75,20883.75,below_value,3,0,0,1,2,5,0,0,2,3
2025-05-25,21032.75,20918.75,20967.25,21288.25,21190.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-05-26,,,,21337.0,21206.75,21269.0,21215.5,53.5,21268.25,21284.5,21296.25,21215.5,unknown,1,0,0,0,1,2,1,0,0,1
2025-05-27,21032.75,20918.75,20967.25,21510.25,21438.25,21400.75,21348.25,52.5,21369.5,21477.5,21488.25,21348.25,above_value,3,1,0,1,1,4,1,0,1,2
2025-05-28,21480.25,21398.0,21449.0,21848.25,21546.0,21477.5,21426.25,51.25,21456.0,21525.0,21528.75,21320.0,above_value,1,0,0,0,1,12,0,1,5,6
2025-05-29,21489.0,21438.5,21467.75,21388.0,21315.0,21522.0,21430.25,91.75,21456.0,21384.5,21522.0,21301.0,below_value,1,0,0,0,1,6,1,0,2,3
2025-05-30,21470.5,21367.5,21433.25,,,21399.5,21318.25,81.25,21384.5,21369.0,21433.25,21071.5,within_value,1,0,0,0,1,7,0,0,3,4
2025-06-01,21415.0,21195.75,21369.0,21329.5,21217.5,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-02,,,,21630.5,21489.5,21418.75,21349.0,69.75,21379.0,21554.75,21576.75,21349.0,unknown,3,1,0,1,1,4,1,0,1,2
2025-06-03,21492.0,21349.0,21428.0,21745.0,21678.5,21686.5,21584.0,102.5,21621.25,21688.0,21759.75,21584.0,above_value,3,1,0,1,1,8,0,1,3,4
2025-06-04,21725.75,21652.25,21702.0,21796.75,21720.75,21784.75,21705.0,79.75,21743.75,21747.5,21802.75,21705.0,above_value,5,1,0,2,2,9,0,0,4,5
2025-06-05,21792.75,21742.75,21771.5,21863.5,21665.0,21925.0,21700.75,224.25,21801.75,21513.5,21936.25,21503.5,below_value,3,1,0,1,1,6,1,0,2,3
2025-06-06,21844.0,21563.75,21701.25,,,21870.25,21735.75,134.5,21784.5,21809.75,21880.0,21721.5,within_value,1,0,0,0,1,1,0,0,0,1
2025-06-08,21849.75,21783.25,21814.25,21815.5,21746.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-09,,,,21881.5,21809.75,21892.5,21813.25,79.25,21852.5,21821.5,21892.5,21796.5,unknown,3,1,0,1,1,3,0,0,1,2
2025-06-10,21873.5,21833.5,21866.25,22004.5,21892.0,21889.5,21844.25,45.25,21873.0,21951.5,21992.25,21743.0,above_value,7,0,0,3,4,8,1,0,3,4
2025-06-11,21940.75,21825.0,21872.0,21881.25,21779.75,22066.75,21985.75,81.0,22038.5,21882.75,22066.75,21790.25,within_value,3,1,0,1,1,4,1,0,1,2
2025-06-12,21994.5,21823.0,21862.0,21704.75,21522.75,21977.5,21881.75,95.75,21920.5,21908.25,21977.5,21881.75,within_value,3,0,0,1,2,1,0,0,0,1
2025-06-13,21948.5,21911.25,21940.25,,,21807.5,21621.25,186.25,21627.25,21654.0,21855.75,21601.25,below_value,1,0,0,0,1,9,0,0,4,5
2025-06-15,21781.75,21613.5,21655.25,21855.25,21593.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-16,,,,22091.75,22030.25,21996.5,21947.0,49.5,21973.25,21935.5,21996.5,21910.5,unknown,3,1,0,1,1,19,0,0,9,10
2025-06-17,21967.5,21928.5,21943.25,22034.25,21955.0,22136.5,22067.25,69.25,22102.5,21953.25,22136.5,21908.0,within_value,1,0,0,0,1,2,1,0,0,1
2025-06-18,22088.0,21911.25,21961.25,21905.5,21739.25,22098.75,22041.25,57.5,22073.0,21961.25,22098.75,21883.0,within_value,3,0,0,1,2,10,1,0,4,5
2025-06-19,22065.5,21958.5,22050.0,22023.5,21828.0,21741.0,21677.5,63.5,21717.5,21704.25,21742.0,21676.5,below_value,3,1,0,1,1,1,0,0,0,1
2025-06-20,22065.5,21958.5,22050.0,,,21967.0,21775.75,191.25,21936.25,21877.5,21967.0,21760.0,below_value,3,0,0,1,2,3,0,0,1,2
2025-06-22,21898.0,21813.5,21857.75,21934.25,21744.75,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-23,,,,22337.25,22245.25,22018.0,21944.75,73.25,21984.75,22072.0,22093.0,21738.5,unknown,3,1,0,1,1,4,1,0,1,2
2025-06-24,22093.0,21910.75,22047.0,22548.25,22442.0,22373.5,22300.0,73.5,22308.0,22409.5,22447.75,22300.0,above_value,1,0,0,0,1,6,1,0,2,3
2025-06-25,22436.0,22368.25,22417.5,22575.0,22511.5,22524.5,22444.75,79.75,22488.5,22472.75,22524.5,22388.25,above_value,3,0,0,1,2,11,0,0,5,6
2025-06-26,22463.0,22415.5,22436.5,22767.0,22677.0,22613.25,22557.0,56.25,22569.0,22672.75,22692.75,22549.75,above_value,3,1,0,1,1,4,1,0,1,2
2025-06-27,22686.5,22599.25,22665.5,,,22814.5,22746.0,68.5,22783.25,22743.25,22820.0,22600.0,above_value,1,0,0,0,1,6,1,0,2,3
2025-06-29,22814.5,22697.0,22786.0,22871.5,22801.25,,,,,,,,unknown,0,0,0,0,0,0,0,0,0,0
2025-06-30,,,,22847.5,22782.25,22844.75,22801.25,43.5,22842.0,22865.75,22934.0,22780.0,unknown,1,0,0,0,1,10,1,0,4,5
2025-07-01,22866.5,22808.0,22832.75,22745.75,22639.0,22783.5,22593.75,189.75,22767.0,22691.5,22783.5,22593.75,below_value,3,1,0,1,1,1,0,0,0,1
